"gene_symbol","functional_axis","n_supporting_terms","sources","example_terms"
"ALOX15","Metabolism/metabolic reprogramming",10,"GO; KEGG","lipid droplet | lipid metabolic process | arachidonic acid metabolic process | fatty acid oxidation | lipid oxidation"
"IDO1","Metabolism/metabolic reprogramming",7,"GO; KEGG","tryptophan 2,3-dioxygenase activity | tryptophan catabolic process | tryptophan catabolic process to kynurenine | 'de novo' NAD biosynthetic process from tryptophan | Tryptophan metabolism - Homo sapiens (human)"
"ARG1","Metabolism/metabolic reprogramming",6,"GO; KEGG","arginine catabolic process | arginine catabolic process to ornithine | Arginine biosynthesis - Homo sapiens (human) | Arginine and proline metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human)"
"GSS","Metabolism/metabolic reprogramming",5,"GO; KEGG","amino acid metabolic process | Cysteine and methionine metabolism - Homo sapiens (human) | Glutathione metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human) | Biosynthesis of cofactors - Homo sapiens (human)"
"CHI3L1","Metabolism/metabolic reprogramming",2,"GO","carbohydrate metabolic process | chitin catabolic process"
"HP","Metabolism/metabolic reprogramming",1,"GO","negative regulation of hydrogen peroxide catabolic process"
"IL6R","Metabolism/metabolic reprogramming",1,"KEGG","Non-alcoholic fatty liver disease - Homo sapiens (human)"
"MMP8","Metabolism/metabolic reprogramming",1,"GO","collagen catabolic process"
"TPST1","Metabolism/metabolic reprogramming",1,"GO","3'-phosphoadenosine 5'-phosphosulfate metabolic process"
"GSS","Oxidative stress/redox biology",5,"GO; KEGG","glutathione synthase activity | glutathione biosynthetic process | response to oxidative stress | glutathione binding | Glutathione metabolism - Homo sapiens (human)"
"ALOX15","Oxidative stress/redox biology",3,"GO","fatty acid oxidation | lipid oxidation | response to endoplasmic reticulum stress"
"HP","Oxidative stress/redox biology",2,"GO","response to hydrogen peroxide | negative regulation of hydrogen peroxide catabolic process"
"IDO1","Oxidative stress/redox biology",1,"GO","multicellular organismal response to stress"
