gene_symbol,n_functional_axes,total_functional_terms,functional_axes,example_functional_terms,n_kegg_pathways_with_compounds,total_compound_metabolite_links,example_compounds,n_kegg_pathways,kegg_route_classes,example_kegg_pathways,functional_metabolic_score
IL6R,6.0,43.0,Acute-phase/antimicrobial response; Immune/inflammatory response; Leukocyte/neutrophil activation; Metabolism/metabolic reprogramming; Signal transduction/receptor axis; Vascular/endothelial axis,acute-phase response | hepatic immune response | interleukin-6 receptor activity | interleukin-11 receptor activity | interleukin-6 receptor binding | interleukin-6 receptor complex | monocyte chemotaxis | positive regulation of leukocyte chemotaxis | Non-alcoholic fatty liver disease - Homo sapiens (human),7.0,72.0,"Hydrogen peroxide | DNA | Calcium cation | Fumarate | (S)-Malate | Diacylglycerol | Cholesterol | Androstenedione | ATP | Oxygen | Pyruvate | Acetyl-CoA | 2-Oxoglutarate | D-Glucose | Ascorbate | Calcium cation | Hydrogen peroxide | RNA | Diacylglycerol | Fibrin | Nitric oxide | Superoxide | Angiotensin I | Angiotensin II | Calcium cation | Diacylglycerol | Prostaglandin E2 | D-myo-Inositol 1,4,5-trisphosphate | Phosphatidylinositol-3,4,5-trisphosphate | Cyclic GMP-AMP",12.0,Environmental Information Processing; Human Diseases; Organismal Systems,EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human) | Cytokine-cytokine receptor interaction - Homo sapiens (human) | Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human) | HIF-1 signaling pathway - Homo sapiens (human) | PI3K-Akt signaling pathway - Homo sapiens (human),28.290459441148393
CXCL10,5.0,46.0,Acute-phase/antimicrobial response; Immune/inflammatory response; Leukocyte/neutrophil activation; Signal transduction/receptor axis; Vascular/endothelial axis,antimicrobial humoral immune response mediated by antimicrobial peptide | antiviral innate immune response | inflammatory response | chemokine activity | CXCR chemokine receptor binding | CXCR3 chemokine receptor binding | antimicrobial humoral immune response mediated by antimicrobial peptide | chemotaxis | T cell chemotaxis | regulation of T cell chemotaxis | neutrophil chemotaxis | positive chemotaxis | signaling receptor binding | signal transduction | cell surface receptor signaling pathway | G protein-coupled receptor signaling pathway | adenylate cyclase-activating G protein-coupled receptor signaling pathway,7.0,26.0,"Hydrogen peroxide | RNA | Diacylglycerol | Fibrin | Nitric oxide | Superoxide | Angiotensin I | Angiotensin II | Calcium cation | Diacylglycerol | 3',5'-Cyclic AMP | D-myo-Inositol 1,4,5-trisphosphate | Phosphatidylinositol-3,4,5-trisphosphate | Hydrogen peroxide | H+ | Phosphatidylinositol-3,4,5-trisphosphate | Calcium cation | D-myo-Inositol 1,4,5-trisphosphate | Phosphatidylinositol-3,4,5-trisphosphate",12.0,Environmental Information Processing; Human Diseases; Organismal Systems,Cytokine-cytokine receptor interaction - Homo sapiens (human) | Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human) | Chemokine signaling pathway - Homo sapiens (human) | Toll-like receptor signaling pathway - Homo sapiens (human) | RIG-I-like receptor signaling pathway - Homo sapiens (human),25.29583686600433
ALOX15,5.0,20.0,Immune/inflammatory response; Metabolism/metabolic reprogramming; Oxidative stress/redox biology; Signal transduction/receptor axis; Tissue remodeling/extracellular matrix,negative regulation of adaptive immune response | inflammatory response | cellular response to interleukin-13 | regulation of inflammatory response | lipid droplet | lipid metabolic process | arachidonic acid metabolic process | fatty acid oxidation | lipid oxidation | fatty acid oxidation | lipid oxidation | response to endoplasmic reticulum stress | regulation of peroxisome proliferator activated receptor signaling pathway,6.0,212.0,"Phosphatidylcholine | Arachidonate | Prostaglandin H2 | Prostaglandin E2 | Prostaglandin F2alpha | Prostaglandin D2 | Leukotriene A4 | Prostaglandin I2 | Calcium cation | L-Tryptophan | Diacylglycerol | Arachidonate | Potassium cation | Prostaglandin H2 | 3',5'-Cyclic AMP | Prostaglandin E2 | CoA | Acetyl-CoA | L-Glutamate | Hydrogen peroxide | Heme | Glutathione | L-Cysteine | Glutathione disulfide | Phosphatidylcholine | Arachidonate | Linoleate | Dihomo-gamma-linolenate | Rumenic acid | (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid | (6Z,9Z,12Z)-Octadecatrienoic acid | Crepenynate",7.0,Cellular Processes; Metabolism; Organismal Systems; Unclassified,Arachidonic acid metabolism - Homo sapiens (human) | Linoleic acid metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human) | Efferocytosis - Homo sapiens (human) | Ferroptosis - Homo sapiens (human),22.361292165709425
ARG1,5.0,13.0,Acute-phase/antimicrobial response; Immune/inflammatory response; Leukocyte/neutrophil activation; Metabolism/metabolic reprogramming; Signal transduction/receptor axis,innate immune response | adaptive immune response | defense response to protozoan | innate immune response | negative regulation of T-helper 2 cell cytokine production | positive regulation of neutrophil mediated killing of fungus | arginine catabolic process | arginine catabolic process to ornithine | Arginine biosynthesis - Homo sapiens (human) | Arginine and proline metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human),4.0,129.0,"Peptide | S-Adenosyl-L-methionine | Pyruvate | L-Glutamate | Glyoxylate | L-Arginine | L-Ornithine | Urea | CO2 | Ammonia | L-Glutamate | 2-Oxoglutarate | L-Aspartate | L-Arginine | L-Glutamine | L-Ornithine | ATP | NAD+ | S-Adenosyl-L-methionine | D-Glucose | L-Arginine | L-Methionine | UTP | L-Ornithine | Hydrogen peroxide | L-Arginine | Calcium cation | Diacylglycerol | Arachidonate | Nitric oxide | 3',5'-Cyclic AMP | Prostaglandin E2",6.0,Cellular Processes; Human Diseases; Metabolism; Unclassified,Arginine biosynthesis - Homo sapiens (human) | Arginine and proline metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human) | Biosynthesis of amino acids - Homo sapiens (human) | Efferocytosis - Homo sapiens (human),20.867534450455583
IDO1,3.0,14.0,Immune/inflammatory response; Metabolism/metabolic reprogramming; Oxidative stress/redox biology,"positive regulation of chronic inflammatory response | positive regulation of type 2 immune response | inflammatory response | response to lipopolysaccharide | negative regulation of interleukin-10 production | tryptophan 2,3-dioxygenase activity | tryptophan catabolic process | tryptophan catabolic process to kynurenine | 'de novo' NAD biosynthetic process from tryptophan | Tryptophan metabolism - Homo sapiens (human) | multicellular organismal response to stress",2.0,92.0,"Acetyl-CoA | L-Tryptophan | Anthranilate | 2-Oxoadipate | L-Kynurenine | Indolepyruvate | Acetoacetyl-CoA | Tryptamine | Calcium cation | L-Tryptophan | Diacylglycerol | L-Kynurenine | Nitric oxide | Prostaglandin E2 | Prostaglandin D2 | D-myo-Inositol 1,4,5-trisphosphate",4.0,Human Diseases; Metabolism; Unclassified,Tryptophan metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human) | Biosynthesis of cofactors - Homo sapiens (human) | African trypanosomiasis - Homo sapiens (human),14.532599493153256
GSS,2.0,10.0,Metabolism/metabolic reprogramming; Oxidative stress/redox biology,amino acid metabolic process | Cysteine and methionine metabolism - Homo sapiens (human) | Glutathione metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human) | Biosynthesis of cofactors - Homo sapiens (human) | glutathione synthase activity | glutathione biosynthetic process | response to oxidative stress | glutathione binding | Glutathione metabolism - Homo sapiens (human),3.0,137.0,S-Adenosyl-L-methionine | S-Adenosyl-L-homocysteine | Pyruvate | L-Alanine | L-Aspartate | Glutathione | Sulfate | L-Serine | NADPH | NADP+ | Acetyl-CoA | L-Glutamate | Glycine | Glutathione | Ascorbate | L-Ornithine | CoA | Acetyl-CoA | L-Glutamate | Hydrogen peroxide | Heme | Glutathione | L-Cysteine | Glutathione disulfide,5.0,Cellular Processes; Metabolism; Unclassified,Cysteine and methionine metabolism - Homo sapiens (human) | Glutathione metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human) | Biosynthesis of cofactors - Homo sapiens (human) | Ferroptosis - Homo sapiens (human),13.927253685157204
IL5RA,3.0,18.0,Immune/inflammatory response; Leukocyte/neutrophil activation; Signal transduction/receptor axis,inflammatory response to antigenic stimulus | cytokine receptor activity | interleukin-5 receptor activity | cytokine-mediated signaling pathway | cytokine binding | positive regulation of leukocyte proliferation | cytokine receptor activity | interleukin-5 receptor activity | signal transduction | cytokine-mediated signaling pathway | interleukin-5-mediated signaling pathway,1.0,31.0,Hydrogen peroxide | DNA | Calcium cation | Fumarate | (S)-Malate | Diacylglycerol | Cholesterol | Androstenedione,4.0,Environmental Information Processing; Human Diseases; Organismal Systems,Cytokine-cytokine receptor interaction - Homo sapiens (human) | JAK-STAT signaling pathway - Homo sapiens (human) | Hematopoietic cell lineage - Homo sapiens (human) | Pathways in cancer - Homo sapiens (human),13.465735902799727
CLEC4D,4.0,13.0,Acute-phase/antimicrobial response; Immune/inflammatory response; Leukocyte/neutrophil activation; Signal transduction/receptor axis,antifungal innate immune response | adaptive immune response | T cell differentiation involved in immune response | defense response to bacterium | positive regulation of canonical NF-kappaB signal transduction | antifungal innate immune response | positive regulation of myeloid dendritic cell activation | immunoglobulin receptor binding | Fc-gamma receptor signaling pathway | pattern recognition receptor activity | positive regulation of canonical NF-kappaB signal transduction | C-type lectin receptor signaling pathway - Homo sapiens (human),1.0,12.0,"Hydrogen peroxide | Calcium cation | D-Mannose | Diacylglycerol | Prostaglandin E2 | 1,3-beta-D-Glucan | L-Fucose | D-myo-Inositol 1,4,5-trisphosphate",1.0,Organismal Systems,C-type lectin receptor signaling pathway - Homo sapiens (human),11.564949357461536
CHI3L1,5.0,12.0,Immune/inflammatory response; Metabolism/metabolic reprogramming; Signal transduction/receptor axis; Tissue remodeling/extracellular matrix; Vascular/endothelial axis,inflammatory response | activation of NF-kappaB-inducing kinase activity | positive regulation of interleukin-8 production | response to interleukin-1 | response to interleukin-6 | carbohydrate metabolic process | chitin catabolic process | positive regulation of peptidyl-threonine phosphorylation | positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction | extracellular matrix structural constituent | extracellular matrix,0.0,0.0,,0.0,,,10.0
HRH4,2.0,9.0,Immune/inflammatory response; Signal transduction/receptor axis,"inflammatory response | histamine receptor activity | G protein-coupled serotonin receptor activity | G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger | adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway | G protein-coupled acetylcholine receptor activity",1.0,53.0,ATP | ADP | UDP | L-Glutamate | Glycine | L-Aspartate | UTP | beta-Alanine,1.0,Environmental Information Processing,Neuroactive ligand-receptor interaction - Homo sapiens (human),8.988984046564275
