"gene_symbol","functional_axis","n_supporting_terms","sources","example_terms"
"CXCL10","Acute-phase/antimicrobial response",2,"GO","antimicrobial humoral immune response mediated by antimicrobial peptide | antiviral innate immune response"
"ARG1","Acute-phase/antimicrobial response",1,"GO","innate immune response"
"CLEC4D","Acute-phase/antimicrobial response",1,"GO","antifungal innate immune response"
"HP","Acute-phase/antimicrobial response",1,"GO","acute-phase response"
"IL6R","Acute-phase/antimicrobial response",1,"GO","acute-phase response"
"SAA2","Acute-phase/antimicrobial response",1,"GO","acute-phase response"
"SLPI","Acute-phase/antimicrobial response",1,"GO","innate immune response"
"IL6R","Immune/inflammatory response",19,"GO; KEGG","hepatic immune response | interleukin-6 receptor activity | interleukin-11 receptor activity | interleukin-6 receptor binding | interleukin-6 receptor complex"
"CXCL10","Immune/inflammatory response",18,"GO; KEGG","inflammatory response | chemokine activity | CXCR chemokine receptor binding | CXCR3 chemokine receptor binding | antimicrobial humoral immune response mediated by antimicrobial peptide"
"IL5RA","Immune/inflammatory response",9,"GO; KEGG","inflammatory response to antigenic stimulus | cytokine receptor activity | interleukin-5 receptor activity | cytokine-mediated signaling pathway | cytokine binding"
"CLEC4D","Immune/inflammatory response",6,"GO; KEGG","adaptive immune response | T cell differentiation involved in immune response | defense response to bacterium | positive regulation of canonical NF-kappaB signal transduction | antifungal innate immune response"
"IDO1","Immune/inflammatory response",6,"GO","positive regulation of chronic inflammatory response | positive regulation of type 2 immune response | inflammatory response | response to lipopolysaccharide | negative regulation of interleukin-10 production"
"CHI3L1","Immune/inflammatory response",5,"GO","inflammatory response | activation of NF-kappaB-inducing kinase activity | positive regulation of interleukin-8 production | response to interleukin-1 | response to interleukin-6"
"ALOX15","Immune/inflammatory response",4,"GO","negative regulation of adaptive immune response | inflammatory response | cellular response to interleukin-13 | regulation of inflammatory response"
"ARG1","Immune/inflammatory response",4,"GO","adaptive immune response | defense response to protozoan | innate immune response | negative regulation of T-helper 2 cell cytokine production"
"SLPI","Immune/inflammatory response",4,"GO","immune response | antibacterial humoral response | response to lipopolysaccharide | innate immune response"
"HP","Immune/inflammatory response",3,"GO","immune system process | defense response | defense response to bacterium"
"MMP8","Immune/inflammatory response",2,"GO","cellular response to lipopolysaccharide | positive regulation of neuroinflammatory response"
"BMX","Immune/inflammatory response",1,"GO","adaptive immune response"
"CLC","Immune/inflammatory response",1,"GO","regulation of T cell cytokine production"
"HRH4","Immune/inflammatory response",1,"GO","inflammatory response"
"TPST1","Immune/inflammatory response",1,"GO","inflammatory response"
"WFDC1","Immune/inflammatory response",1,"GO","negative regulation of inflammatory response"
"CXCL10","Leukocyte/neutrophil activation",7,"GO","chemotaxis | T cell chemotaxis | regulation of T cell chemotaxis | neutrophil chemotaxis | positive chemotaxis"
"IL6R","Leukocyte/neutrophil activation",2,"GO","monocyte chemotaxis | positive regulation of leukocyte chemotaxis"
"ARG1","Leukocyte/neutrophil activation",1,"GO","positive regulation of neutrophil mediated killing of fungus"
"CLEC4D","Leukocyte/neutrophil activation",1,"GO","positive regulation of myeloid dendritic cell activation"
"IL5RA","Leukocyte/neutrophil activation",1,"GO","positive regulation of leukocyte proliferation"
