"gene_symbol","functional_axis","source","matched_term","context"
"ALOX15","Immune/inflammatory response","GO","negative regulation of adaptive immune response","BP"
"ALOX15","Metabolism/metabolic reprogramming","GO","lipid droplet","CC"
"ALOX15","Metabolism/metabolic reprogramming","GO","lipid metabolic process","BP"
"ALOX15","Immune/inflammatory response","GO","inflammatory response","BP"
"ALOX15","Tissue remodeling/extracellular matrix","GO","positive regulation of cell-substrate adhesion","BP"
"ALOX15","Metabolism/metabolic reprogramming","GO","arachidonic acid metabolic process","BP"
"ALOX15","Oxidative stress/redox biology","GO","fatty acid oxidation","BP"
"ALOX15","Metabolism/metabolic reprogramming","GO","fatty acid oxidation","BP"
"ALOX15","Oxidative stress/redox biology","GO","lipid oxidation","BP"
"ALOX15","Metabolism/metabolic reprogramming","GO","lipid oxidation","BP"
"ALOX15","Oxidative stress/redox biology","GO","response to endoplasmic reticulum stress","BP"
"ALOX15","Signal transduction/receptor axis","GO","regulation of peroxisome proliferator activated receptor signaling pathway","BP"
"ALOX15","Immune/inflammatory response","GO","cellular response to interleukin-13","BP"
"ALOX15","Tissue remodeling/extracellular matrix","GO","wound healing","BP"
"ALOX15","Metabolism/metabolic reprogramming","GO","long-chain fatty acid biosynthetic process","BP"
"ALOX15","Metabolism/metabolic reprogramming","GO","linoleic acid metabolic process","BP"
"ALOX15","Immune/inflammatory response","GO","regulation of inflammatory response","BP"
"ARG1","Immune/inflammatory response","GO","adaptive immune response","BP"
"ARG1","Metabolism/metabolic reprogramming","GO","arginine catabolic process","BP"
"ARG1","Metabolism/metabolic reprogramming","GO","arginine catabolic process to ornithine","BP"
"ARG1","Immune/inflammatory response","GO","defense response to protozoan","BP"
"ARG1","Immune/inflammatory response","GO","innate immune response","BP"
"ARG1","Acute-phase/antimicrobial response","GO","innate immune response","BP"
"ARG1","Signal transduction/receptor axis","GO","negative regulation of type II interferon-mediated signaling pathway","BP"
"ARG1","Leukocyte/neutrophil activation","GO","positive regulation of neutrophil mediated killing of fungus","BP"
"ARG1","Immune/inflammatory response","GO","negative regulation of T-helper 2 cell cytokine production","BP"
"CHI3L1","Tissue remodeling/extracellular matrix","GO","extracellular matrix structural constituent","MF"
"CHI3L1","Metabolism/metabolic reprogramming","GO","carbohydrate metabolic process","BP"
"CHI3L1","Metabolism/metabolic reprogramming","GO","chitin catabolic process","BP"
"CHI3L1","Immune/inflammatory response","GO","inflammatory response","BP"
"CHI3L1","Immune/inflammatory response","GO","activation of NF-kappaB-inducing kinase activity","BP"
"CHI3L1","Signal transduction/receptor axis","GO","positive regulation of peptidyl-threonine phosphorylation","BP"
"CHI3L1","Tissue remodeling/extracellular matrix","GO","extracellular matrix","CC"
"CHI3L1","Immune/inflammatory response","GO","positive regulation of interleukin-8 production","BP"
"CHI3L1","Vascular/endothelial axis","GO","positive regulation of angiogenesis","BP"
"CHI3L1","Signal transduction/receptor axis","GO","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP"
"CHI3L1","Immune/inflammatory response","GO","response to interleukin-1","BP"
"CHI3L1","Immune/inflammatory response","GO","response to interleukin-6","BP"
"CLEC4D","Immune/inflammatory response","GO","adaptive immune response","BP"
"CLEC4D","Immune/inflammatory response","GO","T cell differentiation involved in immune response","BP"
"CLEC4D","Leukocyte/neutrophil activation","GO","positive regulation of myeloid dendritic cell activation","BP"
"CLEC4D","Signal transduction/receptor axis","GO","immunoglobulin receptor binding","MF"
"CLEC4D","Signal transduction/receptor axis","GO","Fc-gamma receptor signaling pathway","BP"
"CLEC4D","Signal transduction/receptor axis","GO","pattern recognition receptor activity","MF"
"CLEC4D","Immune/inflammatory response","GO","defense response to bacterium","BP"
"CLEC4D","Immune/inflammatory response","GO","positive regulation of canonical NF-kappaB signal transduction","BP"
"CLEC4D","Signal transduction/receptor axis","GO","positive regulation of canonical NF-kappaB signal transduction","BP"
"CLEC4D","Immune/inflammatory response","GO","antifungal innate immune response","BP"
"CLEC4D","Acute-phase/antimicrobial response","GO","antifungal innate immune response","BP"
"CXCL10","Signal transduction/receptor axis","GO","signaling receptor binding","MF"
"CXCL10","Leukocyte/neutrophil activation","GO","chemotaxis","BP"
"CXCL10","Immune/inflammatory response","GO","inflammatory response","BP"
"CXCL10","Signal transduction/receptor axis","GO","signal transduction","BP"
"CXCL10","Signal transduction/receptor axis","GO","cell surface receptor signaling pathway","BP"
"CXCL10","Signal transduction/receptor axis","GO","G protein-coupled receptor signaling pathway","BP"
"CXCL10","Signal transduction/receptor axis","GO","adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP"
"CXCL10","Signal transduction/receptor axis","GO","cell-cell signaling","BP"
"CXCL10","Immune/inflammatory response","GO","chemokine activity","MF"
"CXCL10","Leukocyte/neutrophil activation","GO","T cell chemotaxis","BP"
"CXCL10","Leukocyte/neutrophil activation","GO","regulation of T cell chemotaxis","BP"
"CXCL10","Vascular/endothelial axis","GO","negative regulation of angiogenesis","BP"
"CXCL10","Leukocyte/neutrophil activation","GO","neutrophil chemotaxis","BP"
"CXCL10","Vascular/endothelial axis","GO","endothelial cell activation","BP"
"CXCL10","Immune/inflammatory response","GO","CXCR chemokine receptor binding","MF"
"CXCL10","Signal transduction/receptor axis","GO","CXCR chemokine receptor binding","MF"
"CXCL10","Immune/inflammatory response","GO","CXCR3 chemokine receptor binding","MF"
"CXCL10","Signal transduction/receptor axis","GO","CXCR3 chemokine receptor binding","MF"
