"queryItem","queryIndex","stringId","ncbiTaxonId","taxonName","preferredName","annotation"
"ALOX15",0,"9606.ENSP00000293761",9606,"Homo sapiens","ALOX15","Arachidonate 15-lipoxygenase; Non-heme iron-containing dioxygenase that catalyzes the stereo-specific peroxidation of free and esterified polyunsaturated fatty acids generating a spectrum of bioactive lipid mediators. Converts arachidonic acid into 12-hydroperoxyeicosatetraenoic acid/12- HPETE and 15-hydroperoxyeicosatetraenoic acid/15-HPETE. Also converts linoleic acid to 13-hydroperoxyoctadecadienoic acid. May also act on (12S)-hydroperoxyeicosatetraenoic acid/(12S)-HPETE to produce hepoxilin A3. Probably plays an important role in the immune and inflammatory responses. Through the o [...] "
"ARG1",1,"9606.ENSP00000349446",9606,"Homo sapiens","ARG1","Arginase-1; Key element of the urea cycle converting L-arginine to urea and L-ornithine, which is further metabolized into metabolites proline and polyamides that drive collagen synthesis and bioenergetic pathways critical for cell proliferation, respectively; the urea cycle takes place primarily in the liver and, to a lesser extent, in the kidneys. Belongs to the arginase family."
"CHI3L1",2,"9606.ENSP00000255409",9606,"Homo sapiens","CHI3L1","Chitinase-3-like protein 1; Carbohydrate-binding lectin with a preference for chitin. Has no chitinase activity. May play a role in tissue remodeling and in the capacity of cells to respond to and cope with changes in their environment. Plays a role in T-helper cell type 2 (Th2) inflammatory response and IL-13-induced inflammation, regulating allergen sensitization, inflammatory cell apoptosis, dendritic cell accumulation and M2 macrophage differentiation. Facilitates invasion of pathogenic enteric bacteria into colonic mucosa and lymphoid organs. Mediates activation of AKT1 signaling  [...] "
"CLEC4D",3,"9606.ENSP00000299665",9606,"Homo sapiens","CLEC4D","C-type lectin domain family 4 member D; A calcium-dependent lectin involved in innate recognition of pathogen-associated molecular patterns (PAMPs). Interacts with signaling adapter Fc receptor gamma chain/FCER1G, likely via CLEC4E, to form a functional complex in myeloid cells (By similarity). Binding of mycobacterial trehalose 6,6'-dimycolate (TDM) to this receptor complex leads to phosphorylation of the immunoreceptor tyrosine-based activation motif (ITAM) of FCER1G, triggering activation of SYK, CARD9 and NF-kappa-B, consequently driving maturation of antigen-presenting cells and s [...] "
"CXCL10",4,"9606.ENSP00000305651",9606,"Homo sapiens","CXCL10","C-X-C motif chemokine 10; Pro-inflammatory cytokine that is involved in a wide variety of processes such as chemotaxis, differentiation, and activation of peripheral immune cells, regulation of cell growth, apoptosis and modulation of angiostatic effects. Plays thereby an important role during viral infections by stimulating the activation and migration of immune cells to the infected sites (By similarity). Mechanistically, binding of CXCL10 to the CXCR3 receptor activates G protein-mediated signaling and results in downstream activation of phospholipase C-dependent pathway, an increas [...] "
"HRH4",5,"9606.ENSP00000256906",9606,"Homo sapiens","HRH4","Histamine H4 receptor; The H4 subclass of histamine receptors could mediate the histamine signals in peripheral tissues. Displays a significant level of constitutive activity (spontaneous activity in the absence of agonist); Belongs to the G-protein coupled receptor 1 family."
"IDO1",6,"9606.ENSP00000430950",9606,"Homo sapiens","IDO1","Indoleamine 2,3-dioxygenase 1; Catalyzes the first and rate limiting step of the catabolism of the essential amino acid tryptophan along the kynurenine pathway. Involved in the peripheral immune tolerance, contributing to maintain homeostasis by preventing autoimmunity or immunopathology that would result from uncontrolled and overreacting immune responses. Tryptophan shortage inhibits T lymphocytes division and accumulation of tryptophan catabolites induces T-cell apoptosis and differentiation of regulatory T-cells. Acts as a suppressor of anti-tumor immunity. Limits the growth of int [...] "
"IL5RA",7,"9606.ENSP00000412209",9606,"Homo sapiens","IL5RA","Interleukin-5 receptor subunit alpha; This is the receptor for interleukin-5. The alpha chain binds to IL5; Belongs to the type I cytokine receptor family. Type 5 subfamily."
"SLPI",8,"9606.ENSP00000342082",9606,"Homo sapiens","SLPI","Antileukoproteinase; Acid-stable proteinase inhibitor with strong affinities for trypsin, chymotrypsin, elastase, and cathepsin G. Modulates the inflammatory and immune responses after bacterial infection, and after infection by the intracellular parasite L.major. Down-regulates responses to bacterial lipopolysaccharide (LPS) (By similarity). Plays a role in regulating the activation of NF-kappa- B and inflammatory responses. Has antimicrobial activity against mycobacteria, but not against salmonella. Contributes to normal resistance against infection by M.tuberculosis. Required for no [...] "
"BMX",10,"9606.ENSP00000350224",9606,"Homo sapiens","BMX","Cytoplasmic tyrosine-protein kinase BMX; Non-receptor tyrosine kinase that plays central but diverse modulatory roles in various signaling processes involved in the regulation of actin reorganization, cell migration, cell proliferation and survival, cell adhesion, and apoptosis. Participates in signal transduction stimulated by growth factor receptors, cytokine receptors, G-protein coupled receptors, antigen receptors and integrins. Induces tyrosine phosphorylation of BCAR1 in response to integrin regulation. Activation of BMX by integrins is mediated by PTK2/FAK1, a key mediator of in [...] "
